id,track,track_label,rank,name,tagline,stack,mvp,wow,useful,easy,source,source_url,demo_url,radar_case_url,reviewed_on
"fun-1","fun","最好玩的项目",1,"AI 小镇 / NPC 社交游戏","一张小地图，几个会记忆、聊天、行动的 AI 角色。","Next.js | Convex | LLM | Canvas","先做 3 个角色、1 个场景、10 条记忆；角色每天自动生成一段小剧情。",97,66,68,"AI Town","https://github.com/a16z-infra/ai-town","https://www.convex.dev/ai-town","https://radar.lyihub.com/projects/ai-town.html","2026-07-12"
"fun-2","fun","最好玩的项目",2,"手势控制小游戏 / 手势乐器","摄像头识别手势，用手掌控制游戏、节奏和音效。","MediaPipe | Tone.js | Phaser","握拳暂停，张手发射，左右移动控制音高；5 分钟就能感到魔法发生。",94,58,74,"Hand Tracking Demo","https://github.com/collidingScopes/threejs-handtracking-101","https://collidingscopes.github.io/threejs-handtracking-101/","","2026-07-12"
"fun-3","fun","最好玩的项目",3,"节点式视觉实验室","像搭积木一样连节点，生成海报、动效和可交互图形。","Graphite | WASM | Node Graph","先复刻一个节点画布：形状、颜色、噪声和导出四个节点能连起来。",93,70,54,"Graphite","https://github.com/GraphiteEditor/Graphite","https://graphite.art","","2026-07-12"
"fun-4","fun","最好玩的项目",4,"浏览器里的迷你音频工作站","上传一段音频，剪切、变声、循环采样，直接导出。","Web Audio | Waveform | IndexedDB","做波形预览、片段裁切、三种效果器和本地保存。",91,72,62,"AudioMass","https://github.com/pkalogiros/AudioMass","https://audiomass.co","","2026-07-12"
"fun-5","fun","最好玩的项目",5,"物理沙盒 / 像素炼金术","沙子、水、火、植物互相反应，几行规则就能长出一个小宇宙。","Rust/WASM | Canvas | Cellular","先做 8 种材料、画笔、暂停/单步和分享种子。",90,45,60,"Sandspiel","https://github.com/MaxBittker/sandspiel","https://sandspiel.club","","2026-07-12"
"fun-6","fun","最好玩的项目",6,"浏览器现场视觉合成器","输入一行代码，画面跟着音乐和节奏实时变形。","Hydra | WebGL | Web Audio","做 6 个 preset、BPM 控制、录屏导出和随机视觉按钮。",89,52,57,"Hydra","https://github.com/hydra-synth/hydra","https://hydra.ojack.xyz","","2026-07-12"
"fun-7","fun","最好玩的项目",7,"生成式海报 / 壁纸工厂","滑动几个参数，就能生成一张有自己审美的海报。","p5.js | Tweakpane | Canvas","做 6 个参数、3 套版式、PNG 导出和随机种子复现。",89,61,82,"p5Catalyst Demo","https://multitude-amsterdam.github.io/p5Catalyst/","","","2026-07-12"
"fun-8","fun","最好玩的项目",8,"多人涂鸦白板游戏","多人同时画画、投票、猜词，适合朋友局和团队破冰。","tldraw | PartyKit | Realtime","先做一个房间码、实时画布、倒计时和投票按钮。",86,57,70,"tldraw","https://github.com/tldraw/tldraw","https://www.tldraw.com","","2026-07-12"
"fun-9","fun","最好玩的项目",9,"24 小时人生拨盘","把一天做成一个可拖拽的圆盘，看见时间正在流向哪里。","SVG | LocalStorage | Charts","拖拽分配睡眠、工作、娱乐和学习；自动生成日复盘。",82,76,80,"Linear Clock Lab","https://github.com/jm5k/jm5k.github.io","https://linearclocklab.com/","","2026-07-12"
"fun-10","fun","最好玩的项目",10,"产品发布短片生成器","给截图、脚本和几个镜头，让代码代理自动合成发布视频。","Remotion | LLM | Video","上传 3 张截图，自动生成字幕、镜头运动和 30 秒 MP4。",84,67,46,"Montage","https://github.com/simplexlabs/montage","","","2026-07-12"
"fun-11","fun","最好玩的项目",11,"手绘风白板 / 灵感草图板","把流程、脑暴、路线图画成手绘质感，可分享也可协作。","Excalidraw | SVG | Realtime","做无限画布、三种图形、文本贴纸和一键分享链接。",85,75,72,"Excalidraw","https://github.com/excalidraw/excalidraw","https://excalidraw.com","","2026-07-12"
